archive_path	object	set0_channels	set0_samples	set0_compression	set0_frame_bytes	set0_sample_bytes	set0_facing_channels	set1_channels	set1_samples	set1_compression	set1_frame_bytes	set1_sample_bytes	set1_facing_channels	overlap_channels
charsys/hiphop/anims/gen/hiphop_extreme_medium_01.acp	hiphop_extreme_medium_01	30	315	1	210	66150	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_90_medium.acp	hiphop_turn_right_90_medium	30	70	1	210	14700	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_forward_medium.acp	hiphop_walk_forward_medium	30	118	1	210	24780	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_180_fast.acp	hiphop_turn_right_180_fast	30	82	1	210	17220	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_right_medium.acp	hiphop_walk_right_medium	30	97	1	210	20370	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_forward_fast.acp	hiphop_walk_forward_fast	29	144	1	202	29088	2	32	1	1	136	136	0	0
charsys/hiphop/anims/gen/hiphop_stop_right_90_fast.acp	hiphop_stop_right_90_fast	30	75	1	210	15750	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_left_45_fast.acp	hiphop_turn_left_45_fast	30	67	1	210	14070	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_special_02.acp	hiphop_special_02	60	179	1	330	59070	2	1	1	1	8	8	0	0
charsys/hiphop/anims/gen/hiphop_special_01.acp	hiphop_special_01	58	207	1	326	67482	2	3	1	1	12	12	0	0
charsys/metal/anims/editor/gen/metal_idle_ui.acp	metal_idle_ui	49	247	1	268	66196	0	6	1	1	24	24	0	0
